日期,小时,用电负荷
2019-08-11,04:00,92.57027299999994
2019-08-11,05:00,79.78507300000004
2019-08-11,06:00,92.68965500000006
2019-08-11,07:00,100.86263900000013
2019-08-11,08:00,98.3430300000001
2019-08-11,09:00,99.71622500000007
2019-08-11,10:00,98.83167300000012
2019-08-11,11:00,105.57623200000012
2019-08-11,12:00,99.11456300000006
2019-08-11,13:00,98.3485450000001
2019-08-11,14:00,104.41339100000012
2019-08-11,15:00,90.59133300000005
2019-08-11,16:00,107.70340400000009
2019-08-11,17:00,102.0894550000001
2019-08-11,18:00,108.22507000000007
2019-08-11,19:00,99.43941000000011
2019-08-11,20:00,96.04156900000014
2019-08-11,21:00,104.71406200000006
2019-08-11,22:00,97.36822000000006
2019-08-11,23:00,93.77529000000003
2019-08-12,00:00,87.20549100000005
2019-08-12,01:00,88.96397800000005
2019-08-12,02:00,81.82749400000003
2019-08-12,03:00,76.77688400000001
2019-08-12,04:00,86.95515600000006
2019-08-12,05:00,83.69452599999998
2019-08-12,06:00,101.95143800000008
2019-08-12,07:00,102.45721000000005
2019-08-12,08:00,118.94783500000017
2019-08-12,09:00,108.73184500000009
2019-08-12,10:00,115.50972400000012
2019-08-12,11:00,100.23170100000009
2019-08-12,12:00,104.25216300000008
2019-08-12,13:00,115.24274000000014
2019-08-12,14:00,111.0516310000001
2019-08-12,15:00,107.4420870000001
2019-08-12,16:00,114.43312400000012
2019-08-12,17:00,113.42274300000003
2019-08-12,18:00,122.84727300000009
2019-08-12,19:00,106.5924950000002
2019-08-12,20:00,113.55806400000006
2019-08-12,21:00,104.3688440000001
2019-08-12,22:00,108.76662100000007
2019-08-12,23:00,96.34567400000012
2019-08-13,00:00,90.21092200000002
2019-08-13,01:00,92.03485799999999
2019-08-13,02:00,88.107308
2019-08-13,03:00,97.4178070000001
2019-08-13,04:00,85.92745000000008
2019-08-13,05:00,95.76951000000012
2019-08-13,06:00,98.88786000000015
2019-08-13,07:00,104.6170680000001
2019-08-13,08:00,119.90613700000011
2019-08-13,09:00,110.62430200000011
2019-08-13,10:00,108.84904700000011
2019-08-13,11:00,106.98117500000006
2019-08-13,12:00,104.1580360000001
2019-08-13,13:00,114.61887900000015
2019-08-13,14:00,103.99846300000016
2019-08-13,15:00,117.53783900000009
2019-08-13,16:00,111.43699100000013
2019-08-13,17:00,114.22010400000002
2019-08-13,18:00,119.24336500000008
2019-08-13,19:00,109.02587600000014
2019-08-13,20:00,111.46777500000007
2019-08-13,21:00,103.89822599999998
2019-08-13,22:00,106.52350600000001
2019-08-13,23:00,94.39379200000006
2019-08-14,00:00,80.95420700000011
2019-08-14,01:00,95.47761700000012
