day,day_of_week,weekend,half_month,holiday,hour,负荷
2,4,False,1,2,15,93.51502000000002
2,4,False,1,2,16,106.40985500000015
2,4,False,1,2,17,99.10300700000002
2,4,False,1,2,18,100.34172800000009
2,4,False,1,2,19,100.63955200000005
2,4,False,1,2,20,84.0124130000001
2,4,False,1,2,21,99.14306300000004
2,4,False,1,2,22,90.21355200000005
2,4,False,1,2,23,93.55390900000008
3,1,False,1,2,0,2525.6000169999975
3,1,False,1,2,1,93.87657299999998
3,1,False,1,2,2,81.823514
3,1,False,1,2,3,88.43168600000003
3,1,False,1,2,4,90.55042000000002
3,1,False,1,2,5,88.051849
3,1,False,1,2,6,105.98298100000011
3,1,False,1,2,7,97.81566000000004
3,1,False,1,2,8,102.33104300000008
3,1,False,1,2,9,112.30901600000009
3,1,False,1,2,10,104.76413900000011
3,1,False,1,2,11,94.81870900000008
3,1,False,1,2,12,111.80685200000009
3,1,False,1,2,13,105.98063700000009
3,1,False,1,2,14,109.81382900000015
3,1,False,1,2,15,107.5597690000001
3,1,False,1,2,16,110.61390400000006
3,1,False,1,2,17,109.53055200000013
3,1,False,1,2,18,117.90687900000009
3,1,False,1,2,19,106.53511200000008
3,1,False,1,2,20,100.98570799999999
3,1,False,1,2,21,111.7926780000001
3,1,False,1,2,22,100.3650980000001
3,1,False,1,2,23,95.82767500000006
3,3,False,1,1,0,2015.4386489999713
3,3,False,1,1,1,69.573348
3,3,False,1,1,2,62.20456400000004
3,3,False,1,1,3,67.90548600000004
3,3,False,1,1,4,66.31217900000004
3,3,False,1,1,5,75.38227000000006
3,3,False,1,1,6,77.18446300000001
3,3,False,1,1,7,86.52581300000003
3,3,False,1,1,8,75.814199
3,3,False,1,1,9,83.33260299999999
3,3,False,1,1,10,92.55771399999998
3,3,False,1,1,11,76.51005199999992
3,3,False,1,1,12,92.10240800000011
3,3,False,1,1,13,87.18802399999996
3,3,False,1,1,14,82.075575
3,3,False,1,1,15,93.63273599999998
3,3,False,1,1,16,90.19041800000007
3,3,False,1,1,17,96.88090699999995
3,3,False,1,1,18,81.58439699999997
3,3,False,1,1,19,86.78496900000009
3,3,False,1,1,20,93.34653200000001
3,3,False,1,1,21,86.408653
3,3,False,1,1,22,92.22778300000006
3,3,False,1,1,23,70.72344800000008
3,5,True,1,2,0,2329.934584
3,5,True,1,2,1,85.36928000000005
3,5,True,1,2,2,73.36716700000008
3,5,True,1,2,3,82.84100900000001
3,5,True,1,2,4,77.60498700000005
3,5,True,1,2,5,85.54156000000005
3,5,True,1,2,6,86.27639600000002
3,5,True,1,2,7,91.37338900000009
3,5,True,1,2,8,95.72342900000001
3,5,True,1,2,9,98.31400400000007
3,5,True,1,2,10,105.60658700000003
3,5,True,1,2,11,97.39973500000008
3,5,True,1,2,12,97.27657400000007
3,5,True,1,2,13,102.22502000000006
3,5,True,1,2,14,106.44419400000008
3,5,True,1,2,15,104.62129900000006
3,5,True,1,2,16,109.02332700000014
3,5,True,1,2,17,93.28663800000005
3,5,True,1,2,18,105.74638100000013
3,5,True,1,2,19,95.38624300000005
3,5,True,1,2,20,92.29623400000017
3,5,True,1,2,21,102.43377200000009
3,5,True,1,2,22,92.41575300000005
3,5,True,1,2,23,94.94125800000003
4,2,False,1,2,0,2587.316632999991
4,2,False,1,2,1,91.68370000000003
4,2,False,1,2,2,89.77133799999997
4,2,False,1,2,3,90.09236600000008
4,2,False,1,2,4,93.73275700000003
4,2,False,1,2,5,90.539709
4,2,False,1,2,6,99.82718600000005
4,2,False,1,2,7,113.47191300000009
4,2,False,1,2,8,107.17705900000009
4,2,False,1,2,9,112.45597800000002
4,2,False,1,2,10,116.82718400000005
4,2,False,1,2,11,97.85137200000008
4,2,False,1,2,12,105.78570100000007
4,2,False,1,2,13,108.42064900000011
4,2,False,1,2,14,116.52711200000009
4,2,False,1,2,15,109.78289300000012
4,2,False,1,2,16,112.48107600000003
4,2,False,1,2,17,114.50602800000013
4,2,False,1,2,18,112.78830200000012
4,2,False,1,2,19,108.93220500000014
4,2,False,1,2,20,111.63188900000006
4,2,False,1,2,21,101.50246000000008
4,2,False,1,2,22,103.37782200000012
4,2,False,1,2,23,102.68224000000009
4,4,False,1,1,0,2161.5429409999897
4,4,False,1,1,1,70.98797300000007
4,4,False,1,1,2,70.50641800000005
4,4,False,1,1,3,71.26781100000001
4,4,False,1,1,4,68.09885300000006
4,4,False,1,1,5,82.02082700000005
4,4,False,1,1,6,78.66845400000001
4,4,False,1,1,7,89.287195
4,4,False,1,1,8,80.6036010000001
4,4,False,1,1,9,89.5660820000001
4,4,False,1,1,10,100.16736800000004
4,4,False,1,1,11,83.49720900000004
4,4,False,1,1,12,97.7865610000001
4,4,False,1,1,13,91.43030000000005
4,4,False,1,1,14,87.05960600000007
4,4,False,1,1,15,101.57066100000007
4,4,False,1,1,16,95.45548400000006
4,4,False,1,1,17,89.03336900000005
4,4,False,1,1,18,102.00689000000007
4,4,False,1,1,19,90.72498400000006
4,4,False,1,1,20,98.58826000000006
4,4,False,1,1,21,89.95949800000001
4,4,False,1,1,22,91.71985700000005
4,4,False,1,1,23,83.27296400000004
4,6,True,1,2,0,2315.5119759999943
4,6,True,1,2,1,86.10980600000005
4,6,True,1,2,2,78.78543800000008
4,6,True,1,2,3,86.00796500000007
4,6,True,1,2,4,78.64508400000004
4,6,True,1,2,5,79.57065100000004
4,6,True,1,2,6,89.59627000000003
4,6,True,1,2,7,90.27743700000003
4,6,True,1,2,8,98.82398200000007
4,6,True,1,2,9,94.83445200000008
4,6,True,1,2,10,102.73294000000006
4,6,True,1,2,11,88.57689900000007
4,6,True,1,2,12,96.12549599999997
4,6,True,1,2,13,104.29594900000008
4,6,True,1,2,14,101.73750800000008
4,6,True,1,2,15,98.0984400000001
4,6,True,1,2,16,102.45400200000007
4,6,True,1,2,17,105.49382000000007
4,6,True,1,2,18,99.86629500000011
4,6,True,1,2,19,95.8718770000001
4,6,True,1,2,20,94.38234000000007
4,6,True,1,2,21,102.10703800000002
4,6,True,1,2,22,95.34397400000006
4,6,True,1,2,23,96.230001
5,0,False,1,2,0,2507.5512979999835
5,0,False,1,2,1,83.48710600000004
5,0,False,1,2,2,82.97384100000004
5,0,False,1,2,3,88.68151599999999
5,0,False,1,2,4,78.63043400000006
5,0,False,1,2,5,91.81084000000008
5,0,False,1,2,6,87.18062900000007
5,0,False,1,2,7,110.02882200000006
5,0,False,1,2,8,109.44529600000006
5,0,False,1,2,9,110.84981300000004
5,0,False,1,2,10,109.07721700000015
5,0,False,1,2,11,112.42074100000004
5,0,False,1,2,12,97.82204500000005
5,0,False,1,2,13,109.68846100000005
5,0,False,1,2,14,110.56268500000009
5,0,False,1,2,15,101.16447500000014
5,0,False,1,2,16,116.19134800000003
5,0,False,1,2,17,107.43287500000005
5,0,False,1,2,18,118.74526100000004
5,0,False,1,2,19,107.24890700000012
5,0,False,1,2,20,102.7323220000001
5,0,False,1,2,21,103.58054900000015
5,0,False,1,2,22,105.84661500000013
5,0,False,1,2,23,95.46547000000005
5,3,False,1,2,0,2618.8999539999913
5,3,False,1,2,1,89.59618299999997
